nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:15:48.043[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../../baseline/results/best_model.pth[0m
Step: 0, Temperature: 314.22 K, Total Energy: -30040.107872 eV
Step: 20, Temperature: 201.22 K, Total Energy: -30038.693575 eV
Step: 40, Temperature: 208.42 K, Total Energy: -30037.956416 eV
Step: 60, Temperature: 222.79 K, Total Energy: -30037.162308 eV
Step: 80, Temperature: 207.94 K, Total Energy: -30036.984016 eV
Step: 100, Temperature: 237.02 K, Total Energy: -30035.666442 eV
Step: 120, Temperature: 263.27 K, Total Energy: -30035.020925 eV
Step: 140, Temperature: 261.81 K, Total Energy: -30034.512198 eV
Step: 160, Temperature: 247.53 K, Total Energy: -30034.185050 eV
Step: 180, Temperature: 257.65 K, Total Energy: -30033.988428 eV
Step: 200, Temperature: 256.58 K, Total Energy: -30034.288514 eV
Step: 220, Temperature: 267.64 K, Total Energy: -30033.961150 eV
Step: 240, Temperature: 262.90 K, Total Energy: -30034.332786 eV
Step: 260, Temperature: 234.08 K, Total Energy: -30034.370233 eV
Step: 280, Temperature: 268.83 K, Total Energy: -30033.931702 eV
Step: 300, Temperature: 242.67 K, Total Energy: -30033.957884 eV
Step: 320, Temperature: 269.23 K, Total Energy: -30034.329918 eV
Step: 340, Temperature: 281.58 K, Total Energy: -30033.457019 eV
Step: 360, Temperature: 258.17 K, Total Energy: -30033.403379 eV
Step: 380, Temperature: 271.69 K, Total Energy: -30033.497496 eV
Step: 400, Temperature: 290.13 K, Total Energy: -30032.854337 eV
Step: 420, Temperature: 282.79 K, Total Energy: -30032.925090 eV
Step: 440, Temperature: 285.99 K, Total Energy: -30032.873050 eV
Step: 460, Temperature: 298.91 K, Total Energy: -30032.210679 eV
Step: 480, Temperature: 300.89 K, Total Energy: -30031.802021 eV
Step: 500, Temperature: 305.86 K, Total Energy: -30032.147522 eV
Step: 520, Temperature: 298.10 K, Total Energy: -30032.175962 eV
Step: 540, Temperature: 279.65 K, Total Energy: -30032.151554 eV
Step: 560, Temperature: 313.12 K, Total Energy: -30032.262325 eV
Step: 580, Temperature: 286.70 K, Total Energy: -30032.404123 eV
Step: 600, Temperature: 299.77 K, Total Energy: -30032.281063 eV
Step: 620, Temperature: 305.57 K, Total Energy: -30031.930134 eV
Step: 640, Temperature: 293.97 K, Total Energy: -30032.454397 eV
Step: 660, Temperature: 307.06 K, Total Energy: -30033.258389 eV
Step: 680, Temperature: 285.69 K, Total Energy: -30033.068000 eV
Step: 700, Temperature: 295.30 K, Total Energy: -30033.022867 eV
Step: 720, Temperature: 276.04 K, Total Energy: -30033.204053 eV
Step: 740, Temperature: 266.47 K, Total Energy: -30033.197319 eV
Step: 760, Temperature: 316.24 K, Total Energy: -30033.276603 eV
Step: 780, Temperature: 284.69 K, Total Energy: -30033.196267 eV
Step: 800, Temperature: 286.90 K, Total Energy: -30033.483174 eV
Step: 820, Temperature: 270.83 K, Total Energy: -30033.104838 eV
Step: 840, Temperature: 291.41 K, Total Energy: -30033.017731 eV
Step: 860, Temperature: 294.65 K, Total Energy: -30032.769442 eV
Step: 880, Temperature: 295.85 K, Total Energy: -30032.946634 eV
Step: 900, Temperature: 296.41 K, Total Energy: -30032.760997 eV
Step: 920, Temperature: 290.28 K, Total Energy: -30033.231363 eV
Step: 940, Temperature: 272.11 K, Total Energy: -30033.645216 eV
Step: 960, Temperature: 288.46 K, Total Energy: -30033.444648 eV
Step: 980, Temperature: 278.30 K, Total Energy: -30033.315946 eV
Step: 1000, Temperature: 277.71 K, Total Energy: -30033.063019 eV
Step: 1020, Temperature: 279.74 K, Total Energy: -30032.998919 eV
Step: 1040, Temperature: 287.37 K, Total Energy: -30033.172883 eV
Step: 1060, Temperature: 286.34 K, Total Energy: -30033.186709 eV
Step: 1080, Temperature: 276.32 K, Total Energy: -30033.294616 eV
Step: 1100, Temperature: 305.62 K, Total Energy: -30032.831090 eV
Step: 1120, Temperature: 278.57 K, Total Energy: -30033.061178 eV
Step: 1140, Temperature: 313.35 K, Total Energy: -30033.143272 eV
Step: 1160, Temperature: 279.12 K, Total Energy: -30033.168538 eV
Step: 1180, Temperature: 269.20 K, Total Energy: -30033.744784 eV
Step: 1200, Temperature: 266.12 K, Total Energy: -30033.506801 eV
Step: 1220, Temperature: 264.52 K, Total Energy: -30033.524939 eV
Step: 1240, Temperature: 298.25 K, Total Energy: -30032.576645 eV
Step: 1260, Temperature: 289.73 K, Total Energy: -30032.209774 eV
Step: 1280, Temperature: 305.57 K, Total Energy: -30032.504250 eV
Step: 1300, Temperature: 288.72 K, Total Energy: -30032.445931 eV
Step: 1320, Temperature: 305.58 K, Total Energy: -30031.922093 eV
Step: 1340, Temperature: 313.96 K, Total Energy: -30031.592965 eV
Step: 1360, Temperature: 316.21 K, Total Energy: -30030.853400 eV
Step: 1380, Temperature: 321.37 K, Total Energy: -30031.243115 eV
Step: 1400, Temperature: 303.42 K, Total Energy: -30031.303824 eV
Step: 1420, Temperature: 299.26 K, Total Energy: -30031.625602 eV
Step: 1440, Temperature: 315.08 K, Total Energy: -30031.928506 eV
Step: 1460, Temperature: 279.01 K, Total Energy: -30032.440752 eV
Step: 1480, Temperature: 293.12 K, Total Energy: -30032.045763 eV
Step: 1500, Temperature: 322.69 K, Total Energy: -30031.362490 eV
Step: 1520, Temperature: 295.48 K, Total Energy: -30031.795665 eV
Step: 1540, Temperature: 303.12 K, Total Energy: -30032.354214 eV
Step: 1560, Temperature: 299.41 K, Total Energy: -30032.623899 eV
Step: 1580, Temperature: 265.58 K, Total Energy: -30032.848216 eV
Step: 1600, Temperature: 283.45 K, Total Energy: -30032.949672 eV
Step: 1620, Temperature: 276.90 K, Total Energy: -30033.444205 eV
Step: 1640, Temperature: 285.53 K, Total Energy: -30033.003486 eV
Step: 1660, Temperature: 278.68 K, Total Energy: -30032.812316 eV
Step: 1680, Temperature: 281.49 K, Total Energy: -30032.848105 eV
Step: 1700, Temperature: 295.21 K, Total Energy: -30032.769321 eV
Step: 1720, Temperature: 294.73 K, Total Energy: -30032.947103 eV
Step: 1740, Temperature: 287.02 K, Total Energy: -30033.243903 eV
Step: 1760, Temperature: 287.52 K, Total Energy: -30033.069362 eV
Step: 1780, Temperature: 285.18 K, Total Energy: -30032.533849 eV
Step: 1800, Temperature: 299.52 K, Total Energy: -30033.214931 eV
Step: 1820, Temperature: 258.80 K, Total Energy: -30033.401273 eV
Step: 1840, Temperature: 299.47 K, Total Energy: -30032.296213 eV
Step: 1860, Temperature: 292.67 K, Total Energy: -30032.756171 eV
Step: 1880, Temperature: 292.95 K, Total Energy: -30032.413174 eV
Step: 1900, Temperature: 301.30 K, Total Energy: -30033.247086 eV
Step: 1920, Temperature: 251.61 K, Total Energy: -30033.392237 eV
Step: 1940, Temperature: 277.46 K, Total Energy: -30033.264481 eV
Step: 1960, Temperature: 261.49 K, Total Energy: -30033.480982 eV
Step: 1980, Temperature: 267.07 K, Total Energy: -30033.397277 eV
Step: 2000, Temperature: 264.29 K, Total Energy: -30033.419285 eV
Step: 2020, Temperature: 281.51 K, Total Energy: -30033.579929 eV
Step: 2040, Temperature: 285.89 K, Total Energy: -30033.383380 eV
Step: 2060, Temperature: 288.02 K, Total Energy: -30033.117481 eV
Step: 2080, Temperature: 291.46 K, Total Energy: -30032.746918 eV
Step: 2100, Temperature: 285.67 K, Total Energy: -30032.654505 eV
Step: 2120, Temperature: 300.65 K, Total Energy: -30032.345118 eV
Step: 2140, Temperature: 306.51 K, Total Energy: -30032.400839 eV
Step: 2160, Temperature: 294.51 K, Total Energy: -30032.392016 eV
Step: 2180, Temperature: 286.53 K, Total Energy: -30033.031523 eV
Step: 2200, Temperature: 309.91 K, Total Energy: -30032.257991 eV
Step: 2220, Temperature: 301.56 K, Total Energy: -30032.351912 eV
Step: 2240, Temperature: 301.97 K, Total Energy: -30032.173800 eV
Step: 2260, Temperature: 329.86 K, Total Energy: -30031.883919 eV
Step: 2280, Temperature: 302.72 K, Total Energy: -30032.246767 eV
Step: 2300, Temperature: 271.97 K, Total Energy: -30033.330237 eV
Step: 2320, Temperature: 282.79 K, Total Energy: -30033.264885 eV
Step: 2340, Temperature: 278.72 K, Total Energy: -30033.078951 eV
Step: 2360, Temperature: 301.93 K, Total Energy: -30032.618042 eV
Step: 2380, Temperature: 298.24 K, Total Energy: -30032.752582 eV
Step: 2400, Temperature: 272.22 K, Total Energy: -30032.976527 eV
Step: 2420, Temperature: 293.93 K, Total Energy: -30032.974703 eV
Step: 2440, Temperature: 304.34 K, Total Energy: -30032.925483 eV
Step: 2460, Temperature: 300.51 K, Total Energy: -30032.717652 eV
Step: 2480, Temperature: 313.07 K, Total Energy: -30032.495908 eV
Step: 2500, Temperature: 269.96 K, Total Energy: -30033.208370 eV
Step: 2520, Temperature: 285.29 K, Total Energy: -30033.919611 eV
Step: 2540, Temperature: 277.78 K, Total Energy: -30033.500605 eV
Step: 2560, Temperature: 263.85 K, Total Energy: -30033.270169 eV
Step: 2580, Temperature: 265.21 K, Total Energy: -30033.015661 eV
Step: 2600, Temperature: 297.54 K, Total Energy: -30032.670332 eV
Step: 2620, Temperature: 316.40 K, Total Energy: -30032.737553 eV
Step: 2640, Temperature: 271.22 K, Total Energy: -30032.598970 eV
Step: 2660, Temperature: 319.16 K, Total Energy: -30031.752895 eV
Step: 2680, Temperature: 301.93 K, Total Energy: -30031.842769 eV
Step: 2700, Temperature: 313.31 K, Total Energy: -30031.702716 eV
Step: 2720, Temperature: 295.33 K, Total Energy: -30032.067048 eV
Step: 2740, Temperature: 265.27 K, Total Energy: -30032.918408 eV
Step: 2760, Temperature: 287.14 K, Total Energy: -30032.440089 eV
Step: 2780, Temperature: 288.26 K, Total Energy: -30032.705471 eV
Step: 2800, Temperature: 293.42 K, Total Energy: -30032.715892 eV
Step: 2820, Temperature: 320.58 K, Total Energy: -30032.792014 eV
Step: 2840, Temperature: 292.49 K, Total Energy: -30032.666788 eV
Step: 2860, Temperature: 278.57 K, Total Energy: -30032.301298 eV
Step: 2880, Temperature: 302.78 K, Total Energy: -30032.270900 eV
Step: 2900, Temperature: 286.19 K, Total Energy: -30032.299805 eV
Step: 2920, Temperature: 300.05 K, Total Energy: -30032.570874 eV
Step: 2940, Temperature: 329.19 K, Total Energy: -30031.998265 eV
Step: 2960, Temperature: 312.78 K, Total Energy: -30032.352596 eV
Step: 2980, Temperature: 335.43 K, Total Energy: -30032.237783 eV
Step: 3000, Temperature: 288.93 K, Total Energy: -30032.628130 eV
Step: 3020, Temperature: 291.72 K, Total Energy: -30032.590202 eV
Step: 3040, Temperature: 302.08 K, Total Energy: -30032.485315 eV
Step: 3060, Temperature: 300.05 K, Total Energy: -30032.592363 eV
Step: 3080, Temperature: 284.82 K, Total Energy: -30032.902049 eV
Step: 3100, Temperature: 328.20 K, Total Energy: -30033.231769 eV
Step: 3120, Temperature: 294.69 K, Total Energy: -30033.331001 eV
Step: 3140, Temperature: 313.94 K, Total Energy: -30033.001632 eV
Step: 3160, Temperature: 296.51 K, Total Energy: -30033.076712 eV
Step: 3180, Temperature: 298.21 K, Total Energy: -30033.362692 eV
Step: 3200, Temperature: 272.83 K, Total Energy: -30033.592110 eV
Step: 3220, Temperature: 282.74 K, Total Energy: -30033.180334 eV
Step: 3240, Temperature: 264.05 K, Total Energy: -30033.396144 eV
Step: 3260, Temperature: 275.39 K, Total Energy: -30033.093046 eV
Step: 3280, Temperature: 272.96 K, Total Energy: -30032.977538 eV
Step: 3300, Temperature: 293.81 K, Total Energy: -30032.573526 eV
