,T,E
0,314.223786440832,-30040.107871917393
1,201.22261961931753,-30038.69357486041
2,208.41762735134694,-30037.956416046203
3,222.78659450691865,-30037.162308292838
4,207.9351014210138,-30036.984016331975
5,237.02180458427608,-30035.666441985788
6,263.2680316733424,-30035.020924823064
7,261.80960988087486,-30034.512197930853
8,247.52588580978792,-30034.1850495039
9,257.6519831235134,-30033.98842841823
10,256.5782539729552,-30034.288513633124
11,267.644032771598,-30033.961149740648
12,262.90029219016105,-30034.332785723967
13,234.083131021635,-30034.370233100817
14,268.83057106959967,-30033.93170233833
15,242.67089095905789,-30033.957884085812
16,269.2329829131742,-30034.32991844186
17,281.582655813491,-30033.457019104357
18,258.1670848492071,-30033.403379044255
19,271.68837693202954,-30033.49749631572
20,290.1271864301685,-30032.854336700806
21,282.79050842943974,-30032.925089600187
22,285.9891515628716,-30032.873049708393
23,298.90620558042895,-30032.210678531606
24,300.8919686057836,-30031.80202104084
25,305.8580943385191,-30032.14752217255
26,298.10152159986006,-30032.175961607318
27,279.64654418939386,-30032.15155372605
28,313.1157133518019,-30032.26232510211
29,286.70456861621403,-30032.40412267637
30,299.7689934287708,-30032.281062814254
31,305.5671174839727,-30031.930134235336
32,293.9652151568169,-30032.454397344027
33,307.0571405560807,-30033.25838934979
34,285.6889520411686,-30033.068000033516
35,295.2986460691889,-30033.022866873824
36,276.0359115863349,-30033.204052710986
37,266.4699763045967,-30033.19731861999
38,316.2392385553538,-30033.27660260544
39,284.69161845105384,-30033.196267395164
40,286.9033482291967,-30033.48317375655
41,270.8259338831243,-30033.10483785087
42,291.4132662564372,-30033.01773138566
43,294.64966958676547,-30032.769441864646
44,295.85199741556136,-30032.94663384915
45,296.4065103575764,-30032.760996996105
46,290.281649308853,-30033.231362629773
47,272.1107764179036,-30033.645216367717
48,288.45567247958735,-30033.444648310884
49,278.2953809518474,-30033.315946150527
50,277.7050588614606,-30033.063018586847
51,279.73697674729897,-30032.99891875384
52,287.3652359136127,-30033.172882543935
53,286.3359226858973,-30033.186709198395
54,276.32169710837195,-30033.29461636123
55,305.6230467254752,-30032.831089938376
56,278.56620479286966,-30033.061177993444
57,313.34828317680433,-30033.143271954807
58,279.11959974385564,-30033.168537636597
59,269.2006398717369,-30033.744783628597
60,266.1193863828177,-30033.506800779596
61,264.5228435583919,-30033.524939262912
62,298.2471121507916,-30032.576645228928
63,289.7349610083842,-30032.20977404156
64,305.57128670201536,-30032.50424951405
65,288.7187947360876,-30032.445930666043
66,305.5763205226693,-30031.922093335135
67,313.9587579351065,-30031.59296499636
68,316.21401524268543,-30030.85340047038
69,321.366086281853,-30031.24311495295
70,303.41636504227193,-30031.303823918814
71,299.26499800288076,-30031.62560217807
72,315.0765118505866,-30031.92850592875
73,279.0115020880343,-30032.440751644637
74,293.1169012357371,-30032.045763223734
75,322.6945255251902,-30031.36248961555
76,295.4818086036767,-30031.795664912275
77,303.11731691143996,-30032.35421441882
78,299.4123134822768,-30032.623899240556
79,265.5838768714482,-30032.848216007187
80,283.4526674365011,-30032.949671821636
81,276.90489762429036,-30033.444205042513
82,285.5339938088401,-30033.003486398193
83,278.6777544752374,-30032.812315813313
84,281.48539512989,-30032.848104786382
85,295.20541658982484,-30032.76932125978
86,294.73131100107616,-30032.947103195263
87,287.0218980086239,-30033.24390347363
88,287.52281757893854,-30033.069362321134
89,285.1762457007071,-30032.53384933403
90,299.52182336205135,-30033.214931434064
91,258.80283025071145,-30033.401273046227
92,299.4733335518174,-30032.296212974878
93,292.6660598108284,-30032.756170916262
94,292.9505035688215,-30032.413174116286
95,301.2954307085293,-30033.247086079133
96,251.6118780535198,-30033.39223746053
97,277.45724986702385,-30033.264481188507
98,261.4934310645748,-30033.480982328692
99,267.06975980095325,-30033.397276996337
100,264.29421379682907,-30033.41928525107
101,281.5094938470435,-30033.579928581556
102,285.88770151800236,-30033.383379986615
103,288.0235890614341,-30033.11748109386
104,291.4649162984418,-30032.746918289497
105,285.66608848481593,-30032.65450495923
106,300.6507044504712,-30032.345118088262
107,306.5114474413975,-30032.400838563146
108,294.5113086356778,-30032.392016319467
109,286.5291406383474,-30033.031523307374
110,309.90633863470384,-30032.257990704395
111,301.5574378504035,-30032.351911734106
112,301.96615274348653,-30032.173799534114
113,329.8582798923804,-30031.88391894458
114,302.72487000680877,-30032.246766631317
