nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 19:41:51.198[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m905[0m - [1mLoading the model from ../hard_const/results/best_model.pth[0m
Step: 0, Temperature: 300.00 K, Total Energy: -30040.437540 eV
Step: 20, Temperature: 187.61 K, Total Energy: -30039.677995 eV
Step: 40, Temperature: 192.91 K, Total Energy: -30039.085540 eV
Step: 60, Temperature: 210.16 K, Total Energy: -30037.676812 eV
Step: 80, Temperature: 209.33 K, Total Energy: -30036.664128 eV
Step: 100, Temperature: 259.27 K, Total Energy: -30035.983469 eV
Step: 120, Temperature: 260.23 K, Total Energy: -30035.617876 eV
Step: 140, Temperature: 267.46 K, Total Energy: -30034.838645 eV
Step: 160, Temperature: 272.39 K, Total Energy: -30034.374608 eV
Step: 180, Temperature: 274.63 K, Total Energy: -30033.893135 eV
Step: 200, Temperature: 277.48 K, Total Energy: -30033.660345 eV
Step: 220, Temperature: 272.77 K, Total Energy: -30033.212953 eV
Step: 240, Temperature: 285.28 K, Total Energy: -30033.044919 eV
Step: 260, Temperature: 317.24 K, Total Energy: -30032.630601 eV
Step: 280, Temperature: 298.10 K, Total Energy: -30032.789294 eV
Step: 300, Temperature: 277.89 K, Total Energy: -30033.128760 eV
Step: 320, Temperature: 262.85 K, Total Energy: -30033.134905 eV
Step: 340, Temperature: 265.44 K, Total Energy: -30033.451509 eV
Step: 360, Temperature: 281.55 K, Total Energy: -30032.815151 eV
Step: 380, Temperature: 278.37 K, Total Energy: -30032.700769 eV
Step: 400, Temperature: 297.50 K, Total Energy: -30032.538668 eV
Step: 420, Temperature: 310.44 K, Total Energy: -30031.764234 eV
Step: 440, Temperature: 301.30 K, Total Energy: -30032.047695 eV
Step: 460, Temperature: 289.39 K, Total Energy: -30032.267275 eV
Step: 480, Temperature: 290.66 K, Total Energy: -30032.214166 eV
Step: 500, Temperature: 316.78 K, Total Energy: -30031.462283 eV
Step: 520, Temperature: 317.29 K, Total Energy: -30031.721316 eV
Step: 540, Temperature: 304.27 K, Total Energy: -30032.130381 eV
Step: 560, Temperature: 308.45 K, Total Energy: -30031.792135 eV
Step: 580, Temperature: 333.36 K, Total Energy: -30031.474849 eV
Step: 600, Temperature: 319.37 K, Total Energy: -30031.423625 eV
Step: 620, Temperature: 308.15 K, Total Energy: -30031.291848 eV
Step: 640, Temperature: 303.18 K, Total Energy: -30031.784260 eV
Step: 660, Temperature: 289.49 K, Total Energy: -30032.645632 eV
Step: 680, Temperature: 273.41 K, Total Energy: -30032.661879 eV
Step: 700, Temperature: 293.51 K, Total Energy: -30032.215782 eV
Step: 720, Temperature: 317.31 K, Total Energy: -30032.177804 eV
Step: 740, Temperature: 318.27 K, Total Energy: -30032.507466 eV
Step: 760, Temperature: 307.40 K, Total Energy: -30032.433363 eV
Step: 780, Temperature: 311.28 K, Total Energy: -30032.296209 eV
Step: 800, Temperature: 315.91 K, Total Energy: -30031.845383 eV
Step: 820, Temperature: 344.44 K, Total Energy: -30031.684204 eV
Step: 840, Temperature: 337.32 K, Total Energy: -30031.321777 eV
Step: 860, Temperature: 289.93 K, Total Energy: -30032.156132 eV
Step: 880, Temperature: 320.78 K, Total Energy: -30032.218696 eV
Step: 900, Temperature: 303.83 K, Total Energy: -30032.422534 eV
Step: 920, Temperature: 304.61 K, Total Energy: -30032.803388 eV
Step: 940, Temperature: 299.49 K, Total Energy: -30032.219699 eV
Step: 960, Temperature: 325.10 K, Total Energy: -30032.703276 eV
Step: 980, Temperature: 322.20 K, Total Energy: -30032.699004 eV
Step: 1000, Temperature: 304.25 K, Total Energy: -30032.788893 eV
Step: 1020, Temperature: 305.37 K, Total Energy: -30033.015027 eV
Step: 1040, Temperature: 296.12 K, Total Energy: -30033.020004 eV
Step: 1060, Temperature: 296.87 K, Total Energy: -30032.729910 eV
Step: 1080, Temperature: 315.31 K, Total Energy: -30032.549630 eV
Step: 1100, Temperature: 317.09 K, Total Energy: -30032.985989 eV
Step: 1120, Temperature: 275.52 K, Total Energy: -30032.933737 eV
Step: 1140, Temperature: 290.03 K, Total Energy: -30033.290245 eV
Step: 1160, Temperature: 304.48 K, Total Energy: -30032.447412 eV
Step: 1180, Temperature: 294.22 K, Total Energy: -30032.617883 eV
Step: 1200, Temperature: 297.91 K, Total Energy: -30032.245233 eV
Step: 1220, Temperature: 300.80 K, Total Energy: -30032.612880 eV
Step: 1240, Temperature: 284.65 K, Total Energy: -30032.199210 eV
Step: 1260, Temperature: 320.15 K, Total Energy: -30032.019500 eV
Step: 1280, Temperature: 309.92 K, Total Energy: -30031.654220 eV
Step: 1300, Temperature: 293.51 K, Total Energy: -30031.725389 eV
Step: 1320, Temperature: 310.60 K, Total Energy: -30031.609915 eV
Step: 1340, Temperature: 315.83 K, Total Energy: -30031.909756 eV
Step: 1360, Temperature: 328.40 K, Total Energy: -30031.678041 eV
Step: 1380, Temperature: 320.70 K, Total Energy: -30032.343552 eV
Step: 1400, Temperature: 303.13 K, Total Energy: -30032.139161 eV
Step: 1420, Temperature: 305.40 K, Total Energy: -30032.379542 eV
Step: 1440, Temperature: 272.44 K, Total Energy: -30032.490591 eV
Step: 1460, Temperature: 304.73 K, Total Energy: -30032.238032 eV
Step: 1480, Temperature: 300.25 K, Total Energy: -30033.110814 eV
Step: 1500, Temperature: 276.88 K, Total Energy: -30033.100981 eV
Step: 1520, Temperature: 292.34 K, Total Energy: -30033.002573 eV
Step: 1540, Temperature: 297.62 K, Total Energy: -30032.486765 eV
Step: 1560, Temperature: 311.66 K, Total Energy: -30033.003650 eV
Step: 1580, Temperature: 301.25 K, Total Energy: -30032.802999 eV
Step: 1600, Temperature: 275.08 K, Total Energy: -30033.071487 eV
Step: 1620, Temperature: 290.07 K, Total Energy: -30032.937758 eV
Step: 1640, Temperature: 294.42 K, Total Energy: -30033.046589 eV
Step: 1660, Temperature: 288.87 K, Total Energy: -30032.948098 eV
Step: 1680, Temperature: 316.68 K, Total Energy: -30032.937520 eV
Step: 1700, Temperature: 276.43 K, Total Energy: -30033.280225 eV
Step: 1720, Temperature: 284.28 K, Total Energy: -30033.806172 eV
Step: 1740, Temperature: 290.42 K, Total Energy: -30032.948749 eV
Step: 1760, Temperature: 279.62 K, Total Energy: -30033.335744 eV
Step: 1780, Temperature: 289.95 K, Total Energy: -30033.077574 eV
Step: 1800, Temperature: 281.97 K, Total Energy: -30033.343819 eV
Step: 1820, Temperature: 290.23 K, Total Energy: -30032.918091 eV
Step: 1840, Temperature: 292.48 K, Total Energy: -30033.291941 eV
Step: 1860, Temperature: 293.47 K, Total Energy: -30032.949098 eV
Step: 1880, Temperature: 313.10 K, Total Energy: -30032.985300 eV
Step: 1900, Temperature: 306.24 K, Total Energy: -30032.889957 eV
Step: 1920, Temperature: 296.87 K, Total Energy: -30033.147931 eV
Step: 1940, Temperature: 285.89 K, Total Energy: -30033.148911 eV
Step: 1960, Temperature: 283.92 K, Total Energy: -30033.322766 eV
Step: 1980, Temperature: 302.25 K, Total Energy: -30033.104164 eV
Step: 2000, Temperature: 289.85 K, Total Energy: -30032.839720 eV
Step: 2020, Temperature: 301.04 K, Total Energy: -30032.376537 eV
Step: 2040, Temperature: 324.38 K, Total Energy: -30031.871562 eV
Step: 2060, Temperature: 317.49 K, Total Energy: -30031.839207 eV
Step: 2080, Temperature: 281.18 K, Total Energy: -30031.869305 eV
Step: 2100, Temperature: 303.24 K, Total Energy: -30032.419454 eV
Step: 2120, Temperature: 299.50 K, Total Energy: -30032.334647 eV
Step: 2140, Temperature: 315.08 K, Total Energy: -30032.399243 eV
Step: 2160, Temperature: 337.31 K, Total Energy: -30032.076020 eV
Step: 2180, Temperature: 340.27 K, Total Energy: -30031.863688 eV
Step: 2200, Temperature: 346.02 K, Total Energy: -30031.590303 eV
Step: 2220, Temperature: 297.80 K, Total Energy: -30032.859254 eV
Step: 2240, Temperature: 290.72 K, Total Energy: -30032.732252 eV
Step: 2260, Temperature: 289.40 K, Total Energy: -30032.847084 eV
Step: 2280, Temperature: 291.40 K, Total Energy: -30032.713423 eV
Step: 2300, Temperature: 286.00 K, Total Energy: -30032.687193 eV
Step: 2320, Temperature: 314.26 K, Total Energy: -30032.300415 eV
Step: 2340, Temperature: 306.83 K, Total Energy: -30032.484729 eV
Step: 2360, Temperature: 317.16 K, Total Energy: -30032.642547 eV
Step: 2380, Temperature: 297.36 K, Total Energy: -30032.795912 eV
Step: 2400, Temperature: 287.47 K, Total Energy: -30032.935952 eV
Step: 2420, Temperature: 305.20 K, Total Energy: -30033.107218 eV
