,T,E
0,299.99594345895434,-30040.43753976352
1,187.6060086673592,-30039.677995079193
2,192.9053236327329,-30039.085539650052
3,210.1613781355781,-30037.676811668785
4,209.33459134520604,-30036.66412766507
5,259.26838580869935,-30035.983468929648
6,260.2272231454987,-30035.617875714604
7,267.46480168902326,-30034.838644756772
8,272.39028734327184,-30034.374607615344
9,274.63428120691776,-30033.89313512452
10,277.48224824038965,-30033.66034515609
11,272.7654709179913,-30033.21295259264
12,285.28111784931747,-30033.044918501342
13,317.2428587516174,-30032.63060109836
14,298.09947474903254,-30032.789293655882
15,277.8892297787111,-30033.128760349344
16,262.8463757997129,-30033.134905066167
17,265.4354439985035,-30033.451509176073
18,281.5540664116071,-30032.8151505086
19,278.37176610569287,-30032.70076918055
20,297.49507884839664,-30032.538668499776
21,310.441738874867,-30031.764234438688
22,301.3023826865544,-30032.047694795558
23,289.3854882102592,-30032.26727535149
24,290.6597772321156,-30032.214165784484
25,316.7847655406919,-30031.46228251507
26,317.28645659138226,-30031.72131596604
27,304.26650718396,-30032.13038141649
28,308.4518465553177,-30031.792135034913
29,333.35592551132174,-30031.4748490606
30,319.36549303328013,-30031.423624873885
31,308.14863456600045,-30031.29184762319
32,303.18159529429096,-30031.784259788612
33,289.48633153432786,-30032.64563200581
34,273.40683165823265,-30032.66187910863
35,293.5064876804048,-30032.21578200188
36,317.308344187399,-30032.17780401162
37,318.2694917818579,-30032.507465960807
38,307.40447048526806,-30032.433363096392
39,311.2782359075662,-30032.296208704465
40,315.90748756465655,-30031.845382847125
41,344.43744868327894,-30031.68420380066
42,337.32020115932704,-30031.32177651892
43,289.92891571263556,-30032.1561323659
44,320.77604479544544,-30032.218696050266
45,303.82720478661037,-30032.422533984452
46,304.6144165148812,-30032.803387658547
47,299.4871296234994,-30032.219698710192
48,325.09616784312414,-30032.703276494358
49,322.1990951069727,-30032.69900391376
50,304.25408000526,-30032.78889295811
51,305.3731039332804,-30033.01502737144
52,296.1222958848095,-30033.0200037307
53,296.8721385590966,-30032.729909826667
54,315.3114042829684,-30032.549629514182
55,317.08870934815906,-30032.985989264595
56,275.51661433708375,-30032.933737459094
57,290.03390852189864,-30033.290245413664
58,304.47742962566804,-30032.447412387024
59,294.22456089213756,-30032.617882799554
60,297.90736525376224,-30032.245233287307
61,300.80070175074457,-30032.61287984356
62,284.6517383166815,-30032.199210261802
63,320.14556268392204,-30032.01949954943
64,309.91662997195334,-30031.6542196699
65,293.51289712259756,-30031.725388557912
66,310.60002947745,-30031.60991537154
67,315.8320000212071,-30031.90975629029
68,328.39525301148007,-30031.678040716044
69,320.70316123263035,-30032.34355174307
70,303.12576338832537,-30032.139161044906
71,305.40211262967694,-30032.379541811184
72,272.43879114882714,-30032.490591352194
73,304.72948343108095,-30032.23803193802
74,300.2543460361095,-30033.110814251264
75,276.88370714833815,-30033.100980945866
76,292.3388476811843,-30033.002572887894
77,297.61900658470927,-30032.486764747202
78,311.6552222405788,-30033.003649566068
79,301.2460550613945,-30032.80299897957
80,275.08157098281896,-30033.071487451503
81,290.0711758712123,-30032.937758015894
82,294.4214821791195,-30033.046589374506
83,288.8675773283812,-30032.948097567856
84,316.6807707726127,-30032.937519698007
85,276.4293690828082,-30033.28022541771
86,284.2767918246256,-30033.80617190061
87,290.4152931050677,-30032.94874899488
88,279.6225049332187,-30033.335744080177
89,289.94637583472553,-30033.077574042138
90,281.9728778717114,-30033.343818982903
91,290.2340522805384,-30032.9180907636
92,292.4839405235781,-30033.29194073659
93,293.47047113525764,-30032.949097732304
94,313.102860720655,-30032.98530032757
95,306.2416061680316,-30032.88995733495
96,296.8700290622044,-30033.147930929972
97,285.89148471110144,-30033.148911095665
98,283.92296515482104,-30033.322765639543
99,302.25364883024,-30033.104164481712
100,289.8504607645757,-30032.839720078846
101,301.037389468917,-30032.37653699875
102,324.37512205776585,-30031.871561969754
103,317.4942094060282,-30031.839206850098
104,281.1820615750745,-30031.869304766664
105,303.2430085499196,-30032.419454389878
106,299.49867643815696,-30032.33464651737
107,315.0751357226574,-30032.39924320637
108,337.306595195878,-30032.076020440512
109,340.274651177225,-30031.863687615223
110,346.01749195915335,-30031.590302926677
111,297.7988632732464,-30032.859254204846
112,290.7179866548197,-30032.732252398193
113,289.3963451290337,-30032.847084030444
114,291.39799026740144,-30032.713423003803
115,286.0016181039432,-30032.68719343988
116,314.256680779118,-30032.300414923622
117,306.8300159181891,-30032.484729233922
118,317.15501722413467,-30032.642546766605
119,297.36060151083103,-30032.795912196423
120,287.46820001242685,-30032.93595219006
121,305.1998487622015,-30033.10721782792
122,310.32647041762175,-30033.47607953604
123,289.7254337033493,-30033.247119864373
124,301.1839496694892,-30032.53500905568
125,290.3409883730535,-30032.151764958136
126,324.0229667012225,-30031.80998923018
127,309.88753355121725,-30032.30923865729
128,296.4956901146526,-30033.124018115795
129,326.9663617022786,-30032.279909063913
130,291.57414832514365,-30032.57623862874
131,300.98695975187644,-30032.647319808995
132,287.91921492870046,-30032.817337066837
133,278.1882554042358,-30033.48852665787
134,287.59778888119297,-30033.784298565
135,276.3641301464528,-30034.37364138685
136,286.2969953359455,-30034.365409668917
137,273.21110060831074,-30034.59642424448
138,286.3807315907996,-30034.388722134965
139,290.8304011790907,-30033.721650004492
140,290.9753842520701,-30033.852817452436
141,259.94646496883485,-30033.91195292115
142,291.6580098477544,-30033.5448604859
143,287.9923013057724,-30033.51864821561
144,313.1526589070863,-30033.384455065592
145,299.7762274818254,-30033.099242655167
146,267.5378029034392,-30033.1317548941
147,281.3810333978938,-30032.862413576597
148,306.15375095630776,-30032.562059592812
149,291.388010200808,-30032.705858188212
150,328.1802882798854,-30032.1794694417
151,302.40593003407594,-30032.633588305293
152,280.09397433024793,-30032.65802756947
153,275.90024375876646,-30032.892966578107
154,278.65826935661704,-30032.55108064326
155,290.5690491891391,-30032.429308090013
156,283.294985243981,-30032.295382039312
157,323.9417192552347,-30031.979974372094
158,296.09878845363335,-30032.01668088604
159,309.9407094321602,-30032.20245019299
160,287.1986113092082,-30032.0383459436
161,287.3989606646575,-30032.248217441054
162,294.4206475020482,-30031.81809446445
163,297.0181782886176,-30032.0661291756
164,282.82880124386566,-30032.18781112751
165,302.62580798786945,-30032.432818893725
166,289.919720916256,-30032.59190743654
167,286.0167856303991,-30032.136035763553
168,296.1582476478244,-30032.39997085803
169,310.72889044258153,-30032.25515481153
170,286.12110496402437,-30032.289696775577
171,276.9978039129275,-30032.480961802477
172,284.7759985498126,-30032.92073575735
173,297.73016913968524,-30032.48791217476
174,287.40015725684503,-30032.589984619135
175,277.68410849313517,-30032.72564790623
176,268.3690253513277,-30033.366985064058
177,261.1354043910662,-30033.384399052942
178,280.81439840109044,-30033.33741377373
179,280.0518394097562,-30033.72743264519
180,297.2896933933053,-30033.1707188628
181,272.49057027970474,-30033.040087552316
182,297.6193651968835,-30032.172302722196
183,321.26330788178706,-30032.048400073178
184,302.4178323273388,-30031.949699165234
185,277.1623457635465,-30032.91242509241
186,295.2658992516879,-30032.941648331438
187,281.54879863435286,-30033.112156243827
188,281.6378916386199,-30033.418538891547
189,316.1229518087667,-30033.21894172461
190,273.5079009771632,-30033.86249577923
191,284.38037951354715,-30033.81141357053
