nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:49:32.229[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../../baseline/results/best_model.pth[0m
Step: 0, Temperature: 293.83 K, Total Energy: -30041.148601 eV
Step: 20, Temperature: 201.02 K, Total Energy: -30039.987725 eV
Step: 40, Temperature: 215.71 K, Total Energy: -30038.783489 eV
Step: 60, Temperature: 220.39 K, Total Energy: -30038.399921 eV
Step: 80, Temperature: 234.93 K, Total Energy: -30038.064818 eV
Step: 100, Temperature: 236.79 K, Total Energy: -30037.324420 eV
Step: 120, Temperature: 248.79 K, Total Energy: -30036.553386 eV
Step: 140, Temperature: 240.01 K, Total Energy: -30035.946423 eV
Step: 160, Temperature: 256.04 K, Total Energy: -30035.089278 eV
Step: 180, Temperature: 277.76 K, Total Energy: -30034.063397 eV
Step: 200, Temperature: 281.89 K, Total Energy: -30034.260118 eV
Step: 220, Temperature: 311.09 K, Total Energy: -30033.654941 eV
Step: 240, Temperature: 301.35 K, Total Energy: -30033.613232 eV
Step: 260, Temperature: 297.32 K, Total Energy: -30033.730438 eV
Step: 280, Temperature: 297.60 K, Total Energy: -30033.821096 eV
Step: 300, Temperature: 284.03 K, Total Energy: -30034.008681 eV
Step: 320, Temperature: 305.14 K, Total Energy: -30033.843890 eV
Step: 340, Temperature: 308.62 K, Total Energy: -30033.451551 eV
Step: 360, Temperature: 277.56 K, Total Energy: -30033.740263 eV
Step: 380, Temperature: 264.62 K, Total Energy: -30033.746051 eV
Step: 400, Temperature: 268.20 K, Total Energy: -30033.278910 eV
Step: 420, Temperature: 313.35 K, Total Energy: -30032.410301 eV
Step: 440, Temperature: 310.34 K, Total Energy: -30032.691404 eV
Step: 460, Temperature: 283.65 K, Total Energy: -30032.559309 eV
Step: 480, Temperature: 289.41 K, Total Energy: -30032.623195 eV
Step: 500, Temperature: 286.41 K, Total Energy: -30032.351162 eV
Step: 520, Temperature: 295.70 K, Total Energy: -30032.228355 eV
Step: 540, Temperature: 321.29 K, Total Energy: -30031.856656 eV
Step: 560, Temperature: 267.03 K, Total Energy: -30032.775291 eV
Step: 580, Temperature: 274.66 K, Total Energy: -30033.094685 eV
Step: 600, Temperature: 277.57 K, Total Energy: -30033.140371 eV
Step: 620, Temperature: 281.60 K, Total Energy: -30032.316196 eV
Step: 640, Temperature: 294.25 K, Total Energy: -30032.446495 eV
Step: 660, Temperature: 312.28 K, Total Energy: -30032.449066 eV
Step: 680, Temperature: 330.26 K, Total Energy: -30032.099345 eV
Step: 700, Temperature: 320.59 K, Total Energy: -30031.850861 eV
Step: 720, Temperature: 301.41 K, Total Energy: -30032.117567 eV
Step: 740, Temperature: 295.66 K, Total Energy: -30032.524360 eV
Step: 760, Temperature: 291.68 K, Total Energy: -30032.687053 eV
Step: 780, Temperature: 307.56 K, Total Energy: -30032.858943 eV
Step: 800, Temperature: 288.46 K, Total Energy: -30032.832776 eV
Step: 820, Temperature: 288.45 K, Total Energy: -30032.963811 eV
Step: 840, Temperature: 313.03 K, Total Energy: -30032.740804 eV
Step: 860, Temperature: 310.30 K, Total Energy: -30033.174863 eV
Step: 880, Temperature: 293.49 K, Total Energy: -30033.075156 eV
Step: 900, Temperature: 295.32 K, Total Energy: -30033.394038 eV
Step: 920, Temperature: 278.04 K, Total Energy: -30033.431271 eV
Step: 940, Temperature: 287.73 K, Total Energy: -30033.440941 eV
Step: 960, Temperature: 287.64 K, Total Energy: -30032.634504 eV
Step: 980, Temperature: 288.44 K, Total Energy: -30032.620180 eV
Step: 1000, Temperature: 289.17 K, Total Energy: -30031.758201 eV
