,T,E
0,293.8259757550416,-30041.148600677898
1,201.0245317634588,-30039.987725221436
2,215.71373204452732,-30038.783489399644
3,220.3929615874893,-30038.39992118456
4,234.92750967491241,-30038.064817853206
5,236.79368235500633,-30037.32442030584
6,248.78638096781452,-30036.553386047515
7,240.0121008775355,-30035.94642284229
8,256.0410072440628,-30035.08927817756
9,277.75695312498505,-30034.06339712578
10,281.8853876434688,-30034.260118330018
11,311.08661159818223,-30033.65494067029
12,301.3506912145891,-30033.61323189838
13,297.3206157846609,-30033.73043773533
14,297.59825986674446,-30033.82109577432
15,284.03457222594926,-30034.00868102202
16,305.1400729712122,-30033.843889786847
17,308.6174939839754,-30033.4515514865
18,277.5589448574441,-30033.740263061034
19,264.6213810658159,-30033.746050799316
20,268.19946482859115,-30033.278909599772
21,313.35356217404296,-30032.41030061403
22,310.33738484028,-30032.691403573615
23,283.65322517388825,-30032.55930876307
24,289.40980511036344,-30032.623194561613
25,286.40955031075123,-30032.35116180772
26,295.6985134376276,-30032.22835519624
27,321.2934081263319,-30031.85665568349
28,267.0257219564183,-30032.7752914752
29,274.6559346126621,-30033.09468544092
30,277.57014944566737,-30033.140371266643
31,281.597767473467,-30032.316196120217
32,294.2504770348761,-30032.446494579708
33,312.28052897649803,-30032.44906590749
34,330.26204492749736,-30032.09934499347
35,320.5934683260585,-30031.850860649978
36,301.4111478842781,-30032.11756742123
37,295.6555626651798,-30032.52435967515
38,291.680520899407,-30032.68705335055
39,307.56485291608004,-30032.858943407242
40,288.4562740910331,-30032.83277584507
41,288.4493120519535,-30032.963810703077
42,313.0267419255324,-30032.7408039693
43,310.29620972576424,-30033.17486329584
44,293.4853312349813,-30033.07515560849
45,295.3242862015951,-30033.394037852406
46,278.0396571416484,-30033.431271375623
47,287.7294101148961,-30033.440940704022
48,287.64383517448556,-30032.63450392955
49,288.4445811237925,-30032.620179949394
50,289.167782947039,-30031.758201147535
51,300.82544562619444,-30031.548346076506
52,305.5306077675623,-30031.703186712355
53,299.43328152461487,-30032.101014660002
54,306.66434217835945,-30032.48320390285
55,309.17596667205777,-30032.73825604636
56,300.49362805959595,-30032.289131642636
57,307.76655273483647,-30032.627296923885
58,272.08984830387624,-30032.788271670106
59,257.28489052781595,-30033.085268989576
60,278.64638394830473,-30032.81050965707
61,306.7665541841124,-30032.129065078592
62,291.34540056256947,-30031.906437790287
63,301.2613006850194,-30031.98071942347
64,326.2762012498158,-30031.703717188524
65,304.40454096021034,-30031.64172625461
66,297.59691057715486,-30031.713707909097
67,308.04562809985117,-30031.911278261403
68,298.83764419936347,-30032.19805936051
69,298.0213398901392,-30031.816291124884
70,311.5646831536228,-30031.025703046274
71,346.55908411067435,-30030.66708248075
72,331.2258467112485,-30031.205911078294
73,299.15230211127135,-30031.649112565337
74,306.0494290430522,-30031.276046963478
75,316.91895610488655,-30031.50597927047
76,319.2652657366798,-30031.089417039348
77,312.1262951354446,-30030.908031603067
78,325.3781793893192,-30031.206821200263
79,318.61902223584445,-30031.25414355349
80,304.4104876802045,-30032.14352948842
81,296.99707919034495,-30032.013983323828
82,308.37106019042847,-30031.43237239561
83,329.69095819714073,-30031.68209900426
84,325.54982338425265,-30031.530619794725
85,322.9302152650662,-30031.317351953137
86,317.3797111385496,-30031.301006246358
87,317.4927685034928,-30031.966125307325
88,327.6720330582819,-30031.713456157944
89,304.7331979243443,-30031.37172347865
90,315.6564962090188,-30031.479206694803
91,306.30873484642694,-30031.48630785646
92,339.85928352619726,-30031.14259621063
93,320.56881639075027,-30031.47843514405
94,279.30305117197133,-30031.784192280786
95,315.41274822464516,-30032.30761615624
96,301.38539518057564,-30032.11040403593
97,297.4303490168154,-30031.93665620836
98,299.1822254828563,-30032.37687395107
99,289.3091683357037,-30032.35034055608
100,309.25190316165117,-30031.81251388965
101,323.58022622971146,-30031.904483602462
102,320.2748059292624,-30031.28076775596
103,322.20122915805626,-30031.589632801868
104,301.31741606349436,-30031.303523746566
105,314.5459206373359,-30032.110715144758
106,288.76760740487265,-30032.48117847369
107,298.9187726246852,-30032.24484258747
108,296.62538725139746,-30032.746008326074
109,322.517300640862,-30032.57775975166
110,337.3690351568692,-30031.892864642126
111,323.68550757311374,-30031.997533038426
112,329.9933425553389,-30031.735024072495
113,330.40229374509374,-30031.804794300075
114,320.4555087554211,-30031.95590051632
115,327.43758118524954,-30032.096318804462
116,309.3983819210176,-30032.47483741627
117,324.07218345007226,-30032.665520980663
118,301.1878690574856,-30032.3185078184
119,295.16573923149235,-30032.61092476338
120,299.26067775584943,-30032.251849632303
121,296.53682997887995,-30032.580271723342
122,296.4511431514161,-30032.21915026906
123,316.92343114302906,-30032.308600849043
124,315.6656105298269,-30032.410617587047
125,297.79958433187113,-30032.622661877016
126,296.6068885572158,-30032.81483397345
127,293.73528468702193,-30033.449714733953
128,282.964617688294,-30033.324712465736
129,273.0238848717149,-30033.251056757774
130,303.8891660376539,-30033.33440413578
131,305.4611597299395,-30032.75962469815
132,306.0402943451527,-30032.42862095985
133,314.825575858837,-30032.037259991594
134,317.30013571087693,-30032.275668250015
135,311.7972531389383,-30032.783512834034
136,293.75657676451544,-30033.466756177422
137,308.09405708623535,-30033.263573200325
138,298.7242519126791,-30033.583729991475
139,282.9244549427205,-30033.886271670497
140,295.4129443995774,-30033.81367816124
141,306.62577251428866,-30033.226363577895
142,315.8698196303803,-30033.175001605512
143,308.4179151679177,-30033.286660133515
144,294.13116563917697,-30033.324501905907
145,292.3278394967768,-30033.52034661285
146,307.4262797405787,-30033.579233114917
147,289.24660651399256,-30033.873401845045
148,295.40190289781674,-30033.390128344923
149,308.7312489001906,-30033.087356090207
150,315.05845778015066,-30033.05092129179
151,277.73921078553616,-30033.04235995871
152,293.95514637358383,-30032.561360468168
153,305.12830533490063,-30032.519967648255
154,309.80342369300536,-30031.937284308427
155,303.1725703669422,-30032.586841424996
156,292.7056701378791,-30032.27449500537
157,324.9368290128616,-30032.88005511658
158,273.6577481780595,-30033.123751669988
159,300.5648636188692,-30032.773664226122
160,319.78212993396454,-30032.47092036998
161,319.41104136461576,-30032.59746141388
162,298.2405394628747,-30032.322484798133
163,306.3046541901538,-30032.738363837223
164,300.71343114789613,-30032.85585697886
165,286.96292043870824,-30033.159479356138
166,307.6920414716389,-30032.61355003178
167,335.4060366521029,-30032.164999626337
168,331.3442059611133,-30032.661912126587
169,309.3981107164055,-30032.83421925217
170,308.8433801339716,-30032.73101411995
171,309.82845524162275,-30032.91712212094
172,299.35231400385607,-30033.374539877328
173,292.7531503497314,-30033.786970108813
174,286.0347943352037,-30033.95240466613
175,326.8082668947039,-30033.85632173116
176,276.47521550851917,-30034.783204208386
177,297.05011285353186,-30034.711865323687
178,297.84278015820666,-30033.863760596352
179,306.7756603561533,-30033.480398051233
180,299.1992237730155,-30033.87058612242
181,281.31681420266386,-30033.561558991612
182,306.43783853443307,-30033.358053708762
183,259.0950730833055,-30033.729095212
184,273.65158289205715,-30033.532110195283
185,261.0906264078301,-30033.975670911055
186,268.6117299245305,-30034.06734629806
187,278.26721992287247,-30033.669676123423
188,314.5804382128979,-30033.225079480406
189,343.12493674343125,-30032.261455038948
190,325.39978946193366,-30032.227760878446
191,316.3931086738959,-30032.964546118452
192,309.75433762991287,-30033.227584056578
193,313.8280446925395,-30032.59951282917
194,312.0184429355602,-30032.692000092316
195,310.2947326514248,-30032.56357240152
196,343.98458676567645,-30032.489786965918
197,337.1006721950643,-30032.403535166082
198,327.3218552718256,-30032.741813881104
199,312.46520215766054,-30033.003004842307
200,281.7836967021861,-30032.774400270486
201,318.1006171770446,-30033.04650718634
202,313.76901881197443,-30033.04240686729
203,317.1266173964229,-30032.916760649074
204,298.52003439914756,-30033.608408685068
205,297.0483615634608,-30033.192378216165
206,283.05497395174876,-30033.547044348656
207,296.4603087351959,-30033.970872369184
208,288.965361155417,-30033.876584578713
209,293.9814232781233,-30034.402495015627
210,286.78050008855524,-30034.84767113716
211,262.487863808577,-30034.49709320155
212,271.8023887611213,-30034.06700166158
213,288.5972788170785,-30034.04015922348
214,302.81855295327017,-30033.30474905362
215,305.2687995155181,-30033.170723270316
216,304.3861773859896,-30033.308204746194
217,313.59697479406833,-30033.361196480684
218,309.0359791099607,-30033.15975327963
219,321.54767402404076,-30033.31313736078
220,294.4297624925854,-30033.033772440816
221,299.92143076065855,-30033.27035114608
222,291.1437993502291,-30033.868550538198
223,282.2941858133625,-30033.214658039567
224,321.0911652664504,-30032.57269085457
225,323.0602496229238,-30032.23985559726
226,309.39189653832517,-30032.668360259824
227,304.80077909534907,-30033.270410673522
228,337.2137631868709,-30032.13505962946
229,325.8937686731705,-30032.41062229097
230,311.4871896000224,-30032.33625007486
231,338.4253589548483,-30032.92873927063
232,316.001156678038,-30032.62286303944
233,310.6046109501641,-30032.6827148298
234,320.7096790448664,-30032.45730647848
235,322.61341695098264,-30032.426899573627
236,307.83795507844786,-30032.74463780346
237,298.0139892585137,-30033.007882652633
238,290.0008958484381,-30032.920795710976
239,289.18457323591963,-30033.2519185617
240,297.8254786796209,-30032.38177481708
241,317.15528930144814,-30032.972678578888
242,286.7895360718172,-30033.281037128956
243,311.2629082869903,-30033.027450115387
244,293.6153841785541,-30033.17148690915
245,294.1029384159011,-30033.55568214258
246,276.9583339236765,-30033.940948749783
247,291.99024583229465,-30033.74760589452
248,309.57386465596795,-30033.745804877635
249,324.54464138352824,-30033.16923735187
250,309.4605728285512,-30033.016238601456
251,290.1663207018926,-30032.760376063197
252,299.4876340767775,-30032.757847791352
253,310.66777530641394,-30032.73190397854
254,296.6870271597881,-30032.578439024575
255,302.6858030181427,-30032.485829482495
256,302.1804056201282,-30032.56888087326
257,291.1801526524065,-30032.92232172809
258,283.2797810463757,-30032.93590918044
259,293.35696621590375,-30033.422141137526
260,289.0317412621218,-30033.43545829724
261,309.9188632571772,-30033.410937074415
262,305.8694093285997,-30033.497381359815
263,303.68280623839405,-30033.288824327163
264,305.2990807124912,-30032.652381886815
265,305.78586057617747,-30032.36472163887
266,293.41029257284373,-30032.73525013484
267,298.951608373796,-30032.949093064715
268,300.4848618584434,-30032.816696350797
269,298.9229506951392,-30033.207627901316
270,301.80513147554,-30033.59787116748
271,289.03112076600934,-30033.205005187272
272,287.9822799755954,-30032.913082569394
273,309.0038949956018,-30033.05118698191
274,283.0270041645745,-30033.069233721475
275,305.43902151242963,-30033.04338583222
276,326.9723390133621,-30032.451795555
277,337.28341982021516,-30032.04346013587
278,323.72951249110406,-30032.449548864053
279,345.9005464918602,-30032.03719700164
280,319.917228055692,-30031.899155753435
281,309.41196252480836,-30032.687385732763
282,318.61673900223553,-30033.019826103973
283,301.897047513379,-30033.65805436021
284,317.70323408767285,-30033.394414126793
285,290.56788630438507,-30033.16431682461
286,299.02421104448223,-30033.513669314216
287,297.3122531120099,-30034.039242272273
288,282.8070403405513,-30033.871653061706
289,289.0771558693767,-30033.34056359067
290,286.119160989263,-30033.333090646298
291,298.24367001764085,-30033.166155890336
292,295.1014575270462,-30033.044185653172
