nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:42:02.699[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../hard_const/results/best_model.pth[0m
Step: 0, Temperature: 300.01 K, Total Energy: -30042.799465 eV
Step: 20, Temperature: 188.53 K, Total Energy: -30041.574048 eV
Step: 40, Temperature: 204.82 K, Total Energy: -30040.597161 eV
Step: 60, Temperature: 221.23 K, Total Energy: -30039.556461 eV
Step: 80, Temperature: 205.98 K, Total Energy: -30038.776782 eV
Step: 100, Temperature: 236.43 K, Total Energy: -30037.769260 eV
Step: 120, Temperature: 253.95 K, Total Energy: -30037.077610 eV
Step: 140, Temperature: 239.03 K, Total Energy: -30036.902911 eV
Step: 160, Temperature: 258.09 K, Total Energy: -30035.879509 eV
Step: 180, Temperature: 296.51 K, Total Energy: -30035.389583 eV
Step: 200, Temperature: 304.86 K, Total Energy: -30034.784563 eV
Step: 220, Temperature: 301.22 K, Total Energy: -30034.647668 eV
Step: 240, Temperature: 326.99 K, Total Energy: -30034.691593 eV
Step: 260, Temperature: 289.83 K, Total Energy: -30034.870450 eV
Step: 280, Temperature: 299.98 K, Total Energy: -30034.483843 eV
Step: 300, Temperature: 300.86 K, Total Energy: -30034.274093 eV
Step: 320, Temperature: 300.43 K, Total Energy: -30034.620718 eV
Step: 340, Temperature: 281.11 K, Total Energy: -30035.080370 eV
Step: 360, Temperature: 292.53 K, Total Energy: -30034.964527 eV
Step: 380, Temperature: 287.46 K, Total Energy: -30034.971270 eV
Step: 400, Temperature: 284.21 K, Total Energy: -30035.109733 eV
Step: 420, Temperature: 291.35 K, Total Energy: -30034.871099 eV
Step: 440, Temperature: 300.61 K, Total Energy: -30034.344752 eV
Step: 460, Temperature: 298.59 K, Total Energy: -30034.378172 eV
Step: 480, Temperature: 292.94 K, Total Energy: -30034.159158 eV
Step: 500, Temperature: 325.71 K, Total Energy: -30033.450393 eV
Step: 520, Temperature: 304.65 K, Total Energy: -30033.549605 eV
Step: 540, Temperature: 305.26 K, Total Energy: -30033.844729 eV
Step: 560, Temperature: 317.51 K, Total Energy: -30033.776216 eV
Step: 580, Temperature: 285.93 K, Total Energy: -30033.812542 eV
Step: 600, Temperature: 289.42 K, Total Energy: -30033.718587 eV
