,T,E
0,300.00618128295486,-30042.79946495058
1,188.53378005499343,-30041.57404762731
2,204.81899260658008,-30040.597161338017
3,221.23383766906497,-30039.55646069668
4,205.98396529819553,-30038.776781771052
5,236.42500255456352,-30037.769260010053
6,253.94682078240731,-30037.077610469903
7,239.02632625029818,-30036.90291059817
8,258.08681335236673,-30035.879509095463
9,296.50835297823744,-30035.38958325583
10,304.85921358532147,-30034.78456279181
11,301.2242842312882,-30034.647668073772
12,326.98967457454455,-30034.691592975196
13,289.82865577755064,-30034.87044964102
14,299.97505849409526,-30034.483843171987
15,300.8577866087566,-30034.274093399687
16,300.43378018323835,-30034.620718274728
17,281.1129102964995,-30035.08037040551
18,292.5277154515419,-30034.96452735125
19,287.45599601643465,-30034.97126979537
20,284.2097855739611,-30035.10973339847
21,291.35264135591467,-30034.871099031086
22,300.6116022345944,-30034.34475177201
23,298.5883203324345,-30034.378171865916
24,292.94221486835875,-30034.159157731934
25,325.7106941267964,-30033.45039306146
26,304.64985997382684,-30033.5496053193
27,305.2617637433519,-30033.844728736818
28,317.51085525157424,-30033.776216293336
29,285.9270731281885,-30033.812541728614
30,289.4221445092946,-30033.718586663534
31,303.36530082839033,-30033.767530395493
32,326.5617106203422,-30032.602770727484
33,314.9054396300661,-30033.191496970034
34,314.23480510462736,-30034.020900776814
35,304.2621933096585,-30034.285939225538
36,323.89425757785244,-30034.617271350264
37,316.3216956897749,-30034.31400238208
38,303.9226512195843,-30034.622622618623
39,329.1286854460102,-30034.12595897762
40,327.36550088057913,-30034.020010638367
41,298.37108482368757,-30034.342631812076
42,298.49671020216016,-30034.427355962576
43,293.6785889966786,-30034.24997191302
44,296.07429964514125,-30034.162242620125
45,308.8919451260429,-30034.104790005753
46,286.7968116461877,-30034.700775618072
47,298.78336466297026,-30034.562708763744
48,322.34717709990366,-30034.230485333108
49,308.1830785837997,-30034.864844976946
50,297.7621603875984,-30034.621652048398
51,295.1681681183748,-30034.976097916606
52,297.6622079689139,-30035.692530793203
53,297.75017906064517,-30035.991094671026
54,287.5101364486836,-30035.21990514835
55,302.4541927318032,-30035.024870504858
56,312.47797513006446,-30034.77026101571
57,302.53346582642587,-30034.673262996712
58,302.2368650677556,-30033.651442148857
59,320.346454408726,-30033.74771180651
60,292.24934556888655,-30033.96373135656
61,290.82979368284157,-30034.310059018095
62,294.0480489755926,-30034.10003441887
63,328.88301775373765,-30033.40558870162
64,286.58726450215596,-30034.016604273686
65,302.7173937920054,-30034.584642590202
66,282.9156682432024,-30034.69508689533
67,286.16439636363964,-30034.759684832417
68,282.07994236449167,-30035.32162069379
69,283.6992876416132,-30035.48588210173
70,298.8072770891864,-30035.13241853451
71,300.91392694330096,-30035.221897093747
72,302.59427386560947,-30035.068214663053
73,282.77950776079547,-30035.51101891441
74,300.02634368208595,-30035.162237993376
75,297.4559202845865,-30035.35202729188
76,292.8976271314757,-30034.96301597166
77,292.00419955731496,-30035.34295730624
78,290.3908159491905,-30034.85432688031
79,292.5596544899309,-30035.12778480571
80,290.0209668890186,-30035.545289806523
81,280.31402609142776,-30035.80949120912
82,306.16767128011276,-30035.825800961156
83,280.6542455881829,-30036.31654074153
84,268.564153595929,-30035.916201742308
85,297.9333461482614,-30035.605618442973
86,292.0954153946588,-30035.690267523005
87,306.2753331823666,-30035.46175914349
88,293.6172971525921,-30035.632376191315
89,295.0730496202732,-30035.4238079441
90,298.84152295055566,-30035.176477218905
91,276.85444018668164,-30035.18380183824
92,325.2942325179384,-30034.648390264185
93,306.0719996589163,-30034.4395405555
94,307.24140494274053,-30034.781158636986
95,291.5030222884908,-30035.43566795073
96,270.22893076326767,-30035.49142738305
97,274.8649665237296,-30035.97418227211
98,279.829252349621,-30036.017022766373
99,307.91181847543623,-30035.375588525483
100,299.4716675781751,-30035.59223461299
101,295.58107728593995,-30035.71373713062
102,311.2090190904175,-30035.501464679837
103,296.0099440945627,-30034.97441162126
104,288.4284665189465,-30035.147929879146
105,270.0508824496071,-30036.00958708887
106,272.8649887679574,-30035.6945149689
107,314.81102523896715,-30035.375517375025
108,268.0278016129882,-30035.652377114784
109,302.9898407554534,-30034.802384751165
110,304.5484252862981,-30034.390052675713
111,266.8342420137038,-30035.289883484515
112,282.43810199279847,-30035.226655532784
113,291.4004530937118,-30034.506612653186
114,301.22800561722056,-30034.96788677367
115,312.4178126221416,-30034.98662120331
116,307.67248237628206,-30034.9792774073
117,292.9209644933207,-30034.771021487326
118,293.8623013677383,-30034.75510694072
